id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
889,Leaf Structure Leaf Laminal Layers Cleft At Anterior Edge,1774,1775,NULL,NULL,NULL,0,1,1
890,Leaf Structure Leaf Laminal Layers Conduplicate,1776,1777,NULL,NULL,NULL,0,1,1
891,Leaf Structure Leaf Laminal Layers Confluent,1778,1779,NULL,NULL,NULL,0,1,1
892,Leaf Structure Leaf Laminal Layers Multi-Stratose,1780,1781,NULL,NULL,NULL,0,0,1
893,Leaf Structure Leaf Laminal Layers Multistratose Streaks,1782,1783,NULL,NULL,NULL,0,0,1
894,Leaf Structure Leaf Laminal Layers Unistratose,1784,1785,NULL,NULL,NULL,0,0,1
895,Leaf Structure Leaf Laminal Layers Upper Leaf Bistratose,1786,1787,NULL,NULL,NULL,0,0,1
896,Leaf Structure Leaf Laminal Layers Upper Leaf Lamina Unistratose,1788,1789,NULL,NULL,NULL,0,0,1
897,Leaf Structure Leaf Laminal Layers Vaginate (Clasping),1790,1791,NULL,NULL,NULL,0,0,0
898,Leaf Structure Leaf Laminal Layers With 3-4 Strata,1792,1793,NULL,NULL,NULL,0,0,1
899,Leaf Surface,1796,1813,NULL,NULL,NULL,NULL,NULL,NULL
900,Leaf Surface Mid Leaf,1797,1812,NULL,NULL,NULL,NULL,NULL,NULL
901,Leaf Surface Mid Leaf Biplicate,1798,1799,NULL,NULL,NULL,0,1,1
902,Leaf Surface Mid Leaf Leaf Surface Rugose,1800,1801,NULL,NULL,NULL,0,1,1
903,Leaf Surface Mid Leaf Leaf Surface Striolate (Finely Ridged),1802,1803,NULL,NULL,NULL,0,1,1
904,Leaf Surface Mid Leaf Plicate,1804,1805,NULL,NULL,NULL,1,1,1
905,Leaf Surface Mid Leaf Rugose,1806,1807,NULL,NULL,NULL,1,1,0
906,Leaf Surface Mid Leaf Rugose Above,1808,1809,NULL,NULL,NULL,1,1,0
907,Leaf Surface Mid Leaf Undulate,1810,1811,NULL,NULL,NULL,0,1,1
908,Mesic Habitat,1814,1837,NULL,NULL,NULL,NULL,NULL,NULL
909,Mesic Habitat Aquatic,1815,1836,NULL,NULL,NULL,NULL,NULL,NULL
910,Mesic Habitat Aquatic Aquatic,1816,1817,NULL,NULL,NULL,1,0,0
911,Mesic Habitat Aquatic Bog,1818,1819,NULL,NULL,NULL,1,0,0
912,Mesic Habitat Aquatic Fen,1820,1821,NULL,NULL,NULL,1,0,0
913,Mesic Habitat Aquatic Periodically Submerged,1822,1823,NULL,NULL,NULL,1,0,0
914,Mesic Habitat Aquatic Riparian,1824,1825,NULL,NULL,NULL,1,0,0
915,Mesic Habitat Aquatic Shallow Water,1826,1827,NULL,NULL,NULL,1,0,0
916,Mesic Habitat Aquatic Stream,1828,1829,NULL,NULL,NULL,1,0,0
917,Mesic Habitat Aquatic Swamp,1830,1831,NULL,NULL,NULL,1,0,0
918,Mesic Habitat Aquatic Totally Submerged,1832,1833,NULL,NULL,NULL,1,0,0
919,Mesic Habitat Aquatic Within Splash Zone,1834,1835,NULL,NULL,NULL,1,0,0
920,Perichaetial Leaf,1838,1845,NULL,NULL,NULL,NULL,NULL,NULL
921,Perichaetial Leaf Shape,1839,1844,NULL,NULL,NULL,NULL,NULL,NULL
922,Perichaetial Leaf Shape Setaceous,1840,1841,NULL,NULL,NULL,0,1,1
923,Perichaetial Leaf Shape Subulate,1842,1843,NULL,NULL,NULL,0,1,1
